"gene_id","class","toxin_family","Cpetl-CLP2324","Cpetl-CLP2326","Cpetl-CLP2327","Average"
"trinityContig14479||sp|Q9HBM0.3|","Nontoxin","NT",10.02,7.59,10.96,9.5233
"trinityContig14492||DUF2039","Nontoxin","NT",9.97,13.02,9.45,10.8133
"trinityContig14498||sp|Q9BYD1.1|","Nontoxin","NT",7.2,16.93,12.62,12.25
"trinityContig14510||127099at32523","Nontoxin","NT",7.1,9.57,5.46,7.3767
"trinityContig14512||sp|P52435.1|","Nontoxin","NT",21.97,35.02,26.54,27.8433
"trinityContig14521||135451at32523__Peptidase_M14","Nontoxin","NT",8.28,7.2,7.06,7.5133
"trinityContig14535||sp|Q8VEL0.1|","Nontoxin","NT",9.8,8.26,8.29,8.7833
"trinityContig14537||sp|Q09073.3|","Nontoxin","NT",119.36,88.79,133.13,113.76
"trinityContig14552||sp|P30043.3|","Nontoxin","NT",0.46,2.33,1.14,1.31
"trinityContig14572||MARCKS","Nontoxin","NT",2.93,4.81,3.07,3.6033
"trinityContig14578||sp|Q3SZZ5.1|","Nontoxin","NT",13.49,23.64,18.04,18.39
"trinityContig14602||sp|Q80YQ8.2|","Nontoxin","NT",13.14,4.77,10.64,9.5167
"trinityContig14647||272037at32523","Nontoxin","NT",4.55,8.65,3.52,5.5733
"trinityContig14650||HECT","Nontoxin","NT",8.66,9.79,8.08,8.8433
"trinityContig14662||236822at32523__TNF","Nontoxin","NT",2.51,4.03,2.83,3.1233
"trinityContig14684||213366at32523__Filament","Nontoxin","NT",6.53,0.63,6.85,4.67
"trinityContig14707||sp|A4FUP9.2|","Nontoxin","NT",6.87,10.24,5.36,7.49
"trinityContig14712||sp|Q3ZCK1.1|","Nontoxin","NT",24.78,29.8,31.81,28.7967
"trinityContig14723||sp|Q0MQE8.3|","Nontoxin","NT",72.69,131.25,107.74,103.8933
"trinityContig14727||215625at32523__T4_deiodinase","Nontoxin","NT",0,0.51,2.18,0.8967
"trinityContig14746||sp|Q5R898.3|","Nontoxin","NT",9.76,8.08,23.11,13.65
"trinityContig14757||sp|O35207.2|","Nontoxin","NT",1.08,2.6,4.82,2.8333
"trinityContig14762||106122at32523","Nontoxin","NT",0,0,0,0
"trinityContig14764||sp|Q9P289.2|","Nontoxin","NT",6.66,3.57,6.46,5.5633
"trinityContig14797||sp|Q9H553.1|","Nontoxin","NT",25.62,14.74,29.23,23.1967
"trinityContig14802||253405at32523","Nontoxin","NT",0.72,5.97,2.41,3.0333
"trinityContig14807||sp|Q8R010.2|","Nontoxin","NT",16.66,18.19,27.61,20.82
"trinityContig14814||sp|Q15008.1|","Nontoxin","NT",11.35,13.17,13.14,12.5533
"trinityContig14842||233141at32523","Nontoxin","NT",21.89,23.85,24.7,23.48
"trinityContig14912||278259at32523","Nontoxin","NT",21.34,37.31,15.9,24.85
"trinityContig14921||198344at32523__E2F_CC-MB","Nontoxin","NT",11.63,7.02,13.11,10.5867
"trinityContig14923||sp|Q3T0T5.3|","Nontoxin","NT",32.02,25.01,39.56,32.1967
"trinityContig14926||NOT2_3_5","Nontoxin","NT",1.91,3.24,2.52,2.5567
"trinityContig14938||sp|P13716.1|","Nontoxin","NT",11.65,13.19,14.73,13.19
"trinityContig14976||sp|Q7Z419.1|","Nontoxin","NT",14.03,9.78,9.89,11.2333
"trinityContig14||sp|P01116.1|","Nontoxin","NT",12.02,4.07,6.69,7.5933
"trinityContig15006||sp|Q3ZCF0.1|","Nontoxin","NT",17,21.34,9.24,15.86
"trinityContig15011||sp|Q8WXB1.2|","Nontoxin","NT",6.17,9.4,4.52,6.6967
"trinityContig15015||TSC22","Nontoxin","NT",4.56,3.82,4.98,4.4533
"trinityContig15027||sp|Q8N4Q1.1|","Nontoxin","NT",15.15,11.72,4.77,10.5467
"trinityContig15040||sp|Q6GQQ9.1|","Nontoxin","NT",3.18,4.09,4.18,3.8167
"trinityContig15044||257488at32523","Nontoxin","NT",17.58,15.9,16.37,16.6167
"trinityContig15046||sp|Q9D650.1|","Nontoxin","NT",22.21,17.13,17.74,19.0267
"trinityContig15072||sp|Q6IP52.1|","Nontoxin","NT",30.26,13.44,35.79,26.4967
"trinityContig15077||sp|O46420.1|","Nontoxin","NT",5.74,6.6,12.86,8.4
"trinityContig15086||sp|Q921H8.1|","Nontoxin","NT",7.46,4.01,6.65,6.04
"trinityContig15095||285661at32523__CCDC32","Nontoxin","NT",4.29,3.36,3.52,3.7233
"trinityContig15101||sp|P30533.1|","Nontoxin","NT",11.83,14.55,13.54,13.3067
"trinityContig15110||sp|Q4R4P3.1|","Nontoxin","NT",46.27,53.98,45.06,48.4367
"trinityContig15162||Ribosomal_L23eN","Nontoxin","NT",901.45,1199.56,970.76,1023.9233
"trinityContig15180||sp|Q9UKU7.1|","Nontoxin","NT",8.05,7.76,15.83,10.5467
"trinityContig15182||sp|Q5RBM1.1|","Nontoxin","NT",209.08,265.33,252.59,242.3333
"trinityContig15199||sp|P35467.3|","Nontoxin","NT",10.07,56.85,14.44,27.12
"trinityContig15205||sp|P09654.2|","Nontoxin","NT",41.64,62.77,109.14,71.1833
"trinityContig15210||Cys_rich_FGFR","Nontoxin","NT",38.78,33.44,34.95,35.7233
"trinityContig15216||sp|Q4V7M2.1|","Nontoxin","NT",107.34,73.01,173,117.7833
"trinityContig15241||sp|O94905.1|","Nontoxin","NT",13.08,12.84,13.01,12.9767
"trinityContig15246||sp|Q5RBS7.1|","Nontoxin","NT",2.91,4.62,2.45,3.3267
"trinityContig15254||242271at32523","Nontoxin","NT",7.78,5.67,6.05,6.5
"trinityContig15262||136341at32523__Methyltransf_8","Nontoxin","NT",20.77,12.47,9.81,14.35
"trinityContig15284||sp|Q9N0V4.3|","Nontoxin","NT",134.11,197.54,114.07,148.5733
"trinityContig15285||sp|Q3SX11.1|","Nontoxin","NT",61.85,74.43,55.07,63.7833
"trinityContig15289||sp|O75391.2|","Nontoxin","NT",21.57,22.68,16.86,20.37
"trinityContig15293||sp|P08003.3|","Nontoxin","NT",509.07,187.88,861.17,519.3733
"trinityContig1530||191525at32523__HIT","Nontoxin","NT",8.08,10.36,2.19,6.8767
"trinityContig1534||NADH_B2","Nontoxin","NT",72.09,127.4,88.77,96.0867
"trinityContig1535||NADH_B2","Nontoxin","NT",1.75,12.27,4.7,6.24
"trinityContig15364||27287at32523","Nontoxin","NT",4.86,4.11,3.12,4.03
"trinityContig15379||sp|O75352.2|","Nontoxin","NT",4.98,7.56,6.21,6.25
"trinityContig1541||sp|D4ACN8.1|","Nontoxin","NT",30.22,30.31,30.28,30.27
"trinityContig15501||250470at32523","Nontoxin","NT",1.79,3.21,2,2.3333
"trinityContig15543||280387at32523__ApoO","Nontoxin","NT",3.98,6.46,3.8,4.7467
"trinityContig15562||302245at32523__BID","Nontoxin","NT",6.04,7.69,9.78,7.8367
"trinityContig15578||216755at32523","Nontoxin","NT",5.47,5.39,8.23,6.3633
"trinityContig15600||sp|O95551.1|","Nontoxin","NT",7.98,8.37,5.95,7.4333
"trinityContig1562||CR6_interact","Nontoxin","NT",17.43,33.56,22.7,24.5633
"trinityContig15636||sp|Q5M956.1|","Nontoxin","NT",5.57,3.42,4.11,4.3667
"trinityContig15655||sp|P51662.1|","Nontoxin","NT",48.98,36.12,43.18,42.76
"trinityContig15673||sp|Q9CPW9.1|","Nontoxin","NT",2.88,3.56,3.83,3.4233
"trinityContig15677||sp|Q6NU46.1|","Nontoxin","NT",18.37,17.11,24.05,19.8433
"trinityContig15683||sp|Q9D075.2|","Nontoxin","NT",4.51,5.92,5.72,5.3833
"trinityContig15695||sp|Q32LJ6.2|","Nontoxin","NT",11.47,7.13,14.89,11.1633
"trinityContig15777||sp|Q58CU0.2|","Nontoxin","NT",15.07,6.91,5.67,9.2167
"trinityContig15786||sp|P62077.1|","Nontoxin","NT",29.38,23.46,21.71,24.85
"trinityContig15804||sp|Q9DBZ5.1|","Nontoxin","NT",128.01,195.75,129.75,151.17
"trinityContig15809||sp|Q3T073.1|","Nontoxin","NT",0,9.98,12.35,7.4433
"trinityContig15817||DNA_repr_REX1B","Nontoxin","NT",11.36,28.03,19.45,19.6133
"trinityContig15819||sp|Q969V3.2|","Nontoxin","NT",10.15,15.27,9.99,11.8033
"trinityContig15822||sp|Q13404.2|","Nontoxin","NT",29.12,16.67,24.1,23.2967
"trinityContig15828||sp|P35293.2|","Nontoxin","NT",52.1,24.21,82.36,52.89
"trinityContig15833||sp|Q9Y450.1|","Nontoxin","NT",28.84,21.94,23.8,24.86
"trinityContig15859||138400at32523","Nontoxin","NT",17,21.74,27.54,22.0933
"trinityContig15862||Fez1","Nontoxin","NT",2.23,1.57,1,1.6
"trinityContig15864||133426at32523","Nontoxin","NT",3.65,3.65,4.52,3.94
"trinityContig15865||DUF1358","Nontoxin","NT",6.43,7.97,8.61,7.67
"trinityContig15883||sp|A1YER2.1|","Nontoxin","NT",74.59,149.06,60.92,94.8567
"trinityContig15887||sp|P29373.2|","Nontoxin","NT",12.28,14.55,11.04,12.6233
"trinityContig15970||279702at32523","Nontoxin","NT",17.89,27.6,18.65,21.38
"trinityContig15976||Phosphorylase","Nontoxin","NT",2.42,3.96,3.37,3.25
"trinityContig15977||sp|Q0VCM4.1|","Nontoxin","NT",6.97,7.38,10.34,8.23
"trinityContig15988||256267at32523","Nontoxin","NT",0,0,0,0
"trinityContig15990||256267at32523__RRM_1","Nontoxin","NT",26.91,27.18,21.28,25.1233
"trinityContig16004||sp|Q6DGG1.1|","Nontoxin","NT",5.38,10.52,2.5,6.1333
"trinityContig16039||sp|Q5F384.1|","Nontoxin","NT",38.58,29.15,35.41,34.38
"trinityContig16052||sp|Q64632.1|","Nontoxin","NT",3.16,4.76,3.55,3.8233
"trinityContig16060||178746at32523__GRASP55_65","Nontoxin","NT",47.08,36.4,46.66,43.38
"trinityContig16060||sp|Q5R421.1|","Nontoxin","NT",11.94,7.5,13.46,10.9667
"trinityContig16074||PAXIP1_C","Nontoxin","NT",6.23,5.21,7.02,6.1533
"trinityContig16077||182590at32523__HMG_box","Nontoxin","NT",1.19,3.05,4.69,2.9767
"trinityContig16078||sp|Q2YDH6.1|","Nontoxin","NT",26.46,27.7,25.38,26.5133
"trinityContig16084||sp|Q5R4J1.2|","Nontoxin","NT",56.5,44.46,81.52,60.8267
"trinityContig16145||259445at32523","Nontoxin","NT",3.75,4.88,5.28,4.6367
"trinityContig1614||212062at32523","Nontoxin","NT",0,1.86,0,0.62
"trinityContig16162||sp|Q9ULC3.1|","Nontoxin","NT",7.77,7.32,10.88,8.6567
"trinityContig16198||sp|Q8UW59.1|","Nontoxin","NT",57.15,82.43,58.16,65.9133
"trinityContig1619||sp|Q3U269.3|","Nontoxin","NT",10.16,6.9,6.51,7.8567
"trinityContig1621||250096at32523","Nontoxin","NT",33.03,78.02,20.05,43.7
"trinityContig16227||87735at32523__SNF","Nontoxin","NT",1.45,2.59,0,1.3467
"trinityContig16239||P_C10","Nontoxin","NT",6.48,25.1,8,13.1933
"trinityContig16249||138099at32523__Peptidase_C54","Nontoxin","NT",0.03,0.58,0,0.2033
"trinityContig1625||sp|Q01887.2|","Nontoxin","NT",10.63,8.18,9.57,9.46
"trinityContig16282||sp|Q7TT50.2|","Nontoxin","NT",6.07,6.12,5.67,5.9533
"trinityContig1629||sp|O88967.1|","Nontoxin","NT",24.45,11.94,25.85,20.7467
"trinityContig16305||sp|Q9Y2G3.2|","Nontoxin","NT",10.75,6.76,8.52,8.6767
"trinityContig16340||sp|Q05B58.1|","Nontoxin","NT",17.96,18.19,20.64,18.93
"trinityContig1637||sp|Q9W757.2|","Nontoxin","NT",5.54,6.13,6.52,6.0633
"trinityContig16388||270463at32523","Nontoxin","NT",12.19,13.41,10.19,11.93
"trinityContig16394||sp|P61962.1|","Nontoxin","NT",14.43,12.98,15.15,14.1867
"trinityContig1639||85639at32523__SSF","Nontoxin","NT",2.91,3.89,5.1,3.9667
"trinityContig16403||146717at32523__zf-C2H2_2","Nontoxin","NT",2.59,0,0,0.8633
"trinityContig16426||sp|Q5F3W2.2|","Nontoxin","NT",8.63,7.41,11.68,9.24
"trinityContig16429||256267at32523","Nontoxin","NT",5.75,7.93,3.24,5.64
"trinityContig16437||sp|Q8TCA0.1|","Nontoxin","NT",1,0.77,2.53,1.4333
"trinityContig1643||279033at32523__Mod_r","Nontoxin","NT",4.17,5.1,3.66,4.31
"trinityContig16455||sp|Q5RFK0.3|","Nontoxin","NT",13.96,22.97,17.91,18.28
"trinityContig16505||sp|Q7KZN9.1|","Nontoxin","NT",3.83,5.3,3.86,4.33
"trinityContig1652||sp|J3S9D9.1|","Nontoxin","NT",44.27,37.35,40.23,40.6167
"trinityContig16530||PTS_2-RNA","Nontoxin","NT",5.63,5.85,6.35,5.9433
"trinityContig16531||172011at32523","Nontoxin","NT",2.36,4.62,3.99,3.6567
"trinityContig16535||sp|Q5RDY2.1|","Nontoxin","NT",11.29,13.94,8.54,11.2567
"trinityContig16537||sp|Q9BYG5.1|","Nontoxin","NT",3.58,2.78,2.69,3.0167
"trinityContig16547||198092at32523","Nontoxin","NT",4.24,4.21,7.11,5.1867
"trinityContig1655||sp|Q8IX03.1|","Nontoxin","NT",13.01,10.19,12.59,11.93
"trinityContig16563||sp|P49915.1|","Nontoxin","NT",6.11,3.93,5.9,5.3133
"trinityContig16587||293550at32523","Nontoxin","NT",10.23,5.54,8.44,8.07
"trinityContig16587||COX5A","Nontoxin","NT",47.25,54.1,36.28,45.8767
"trinityContig16590||295107at32523","Nontoxin","NT",7.42,15.09,10.06,10.8567
"trinityContig16598||sp|Q17QJ0.1|","Nontoxin","NT",0.68,2.81,2.7,2.0633
"trinityContig16610||sp|Q9Y5Y5.2|","Nontoxin","NT",3.66,5.76,3.95,4.4567
"trinityContig16616||TACC_C","Nontoxin","NT",1.52,2.53,3,2.35
"trinityContig16620||267847at32523__TFIIS_M","Nontoxin","NT",4.27,7.66,5.68,5.87
"trinityContig16627||sp|O75368.1|","Nontoxin","NT",5.36,7.49,2,4.95
"trinityContig16628||222405at32523__ELMO_CED12","Nontoxin","NT",1.47,1.82,1.39,1.56
"trinityContig16635||Melibiase_2","Nontoxin","NT",2.43,3.37,4.04,3.28
"trinityContig16641||sp|Q5EBL8.2|","Nontoxin","NT",21.06,27.84,32.01,26.97
"trinityContig16648||sp|Q2LE78.1|","Nontoxin","NT",5.09,3.52,4.29,4.3
"trinityContig16656||160103at32523__Prenyltrans","Nontoxin","NT",10.31,11.39,9.74,10.48
"trinityContig16660||273183at32523","Nontoxin","NT",3.1,4.7,1.31,3.0367
"trinityContig16667||sp|Q9Y5J6.1|","Nontoxin","NT",2.57,8.31,12.89,7.9233
"trinityContig16675||sp|Q9NRM2.2|","Nontoxin","NT",5.32,7.32,6.86,6.5
"trinityContig16676||sp|D3ZKU7.1|","Nontoxin","NT",19.95,12.06,25.72,19.2433
"trinityContig16678||GCN5L1","Nontoxin","NT",0,4.23,0,1.41
"trinityContig16683||sp|Q5R514.1|","Nontoxin","NT",3.07,4.23,4.1,3.8
"trinityContig1671||PLDc_3","Nontoxin","NT",4.95,6.04,3.54,4.8433
"trinityContig16736||289632at32523","Nontoxin","NT",0.6,0,0.67,0.4233
"trinityContig1673||sp|Q1LZB3.1|","Nontoxin","NT",5.3,6.11,1.24,4.2167
"trinityContig16786||238843at32523__RRP7","Nontoxin","NT",6.44,6.72,8.46,7.2067
"trinityContig16791||sp|P62877.1|","Nontoxin","NT",111.89,193.91,134.3,146.7
"trinityContig16815||sp|Q14974.2|","Nontoxin","NT",8.15,6.58,9.67,8.1333
"trinityContig16829||sp|P50151.1|","Nontoxin","NT",0,0,5.03,1.6767
"trinityContig16885||sp|Q5ZM25.1|","Nontoxin","NT",21.81,30.98,24.94,25.91
"trinityContig16913||sp|Q96FZ7.3|","Nontoxin","NT",9.84,16.46,19.51,15.27
"trinityContig16916||Synuclein","Nontoxin","NT",0,1.15,0,0.3833
"trinityContig16927||224157at32523","Nontoxin","NT",2.06,2.89,4.61,3.1867
"trinityContig16940||271255at32523__Mpv17_PMP22","Nontoxin","NT",1.1,0.65,1.24,0.9967
"trinityContig16962||sp|Q3KPT7.1|","Nontoxin","NT",5.13,9.2,11.28,8.5367
"trinityContig16966||167904at32523__Peptidase_M16","Nontoxin","NT",19.12,28.56,24.71,24.13
"trinityContig16986||sp|P16039.1|","Nontoxin","NT",74.89,115.49,73.57,87.9833
"trinityContig17012||144435at32523","Nontoxin","NT",2.81,0,1.9,1.57
"trinityContig17014||sp|Q0V9A9.1|","Nontoxin","NT",5.22,6.09,4.94,5.4167
"trinityContig17029||204152at32523","Nontoxin","NT",82.27,88.28,129.22,99.9233
"trinityContig17062||sp|A1A5Y5.1|","Nontoxin","NT",11.76,10.74,11.7,11.4
"trinityContig17107||97729at32523__Alpha-amylase","Nontoxin","NT",46.34,51.03,59.5,52.29
"trinityContig17120||TIP120","Nontoxin","NT",9.33,10.36,3.94,7.8767
"trinityContig17174||231255at32523","Nontoxin","NT",16.39,12.19,11.95,13.51
"trinityContig17183||301160at32523","Nontoxin","NT",32.57,48.61,28.73,36.6367
"trinityContig17202||sp|Q5ZI78.1|","Nontoxin","NT",4.46,3.93,5.86,4.75
"trinityContig17211||TIMP","Nontoxin","NT",2.5,3.53,6.97,4.3333
"trinityContig17234||sp|Q922H2.1|","Nontoxin","NT",12.29,8.91,12.96,11.3867
"trinityContig17267||304399at32523","Nontoxin","NT",39.85,116.86,92.8,83.17
"trinityContig17297||262918at32523__Ras","Nontoxin","NT",5.43,9.26,5.48,6.7233
"trinityContig17340||sp|P99025.3|","Nontoxin","NT",4.07,10.95,27.06,14.0267
"trinityContig17367||180550at32523__ALG3","Nontoxin","NT",7.16,9.13,6.32,7.5367
"trinityContig17385||sp|Q9D6N1.1|","Nontoxin","NT",10.77,2.43,8.64,7.28
"trinityContig17417||Alg14","Nontoxin","NT",4.23,3.9,2.39,3.5067
"trinityContig17440||sp|P98154.1|","Nontoxin","NT",8.4,5.16,6.97,6.8433
"trinityContig17454||LOH1CR12","Nontoxin","NT",0,2.33,0,0.7767
"trinityContig17456||LAP1C","Nontoxin","NT",9.01,8.37,7.77,8.3833
"trinityContig17472||PEHE","Nontoxin","NT",2.25,0.88,2.03,1.72
"trinityContig1747||197140at32523","Nontoxin","NT",5.68,4.18,6.59,5.4833
"trinityContig17482||V-ATPase_C","Nontoxin","NT",0.35,0,0,0.1167
"trinityContig17483||sp|Q5XH14.1|","Nontoxin","NT",2.3,4.33,2.82,3.15
"trinityContig17493||220690at32523","Nontoxin","NT",5.13,2.01,2.31,3.15
"trinityContig17496||sp|Q12857.2|","Nontoxin","NT",14.2,10.62,13.75,12.8567
"trinityContig17503||sp|Q99K85.1|","Nontoxin","NT",36.73,18.73,49.76,35.0733
"trinityContig17508||sp|P15586.3|","Nontoxin","NT",7.26,2.33,6.45,5.3467
"trinityContig17509||sp|P15586.3|","Nontoxin","NT",22.42,22.88,22.35,22.55
"trinityContig17518||sp|Q9BWW4.1|","Nontoxin","NT",7.21,2.84,3.44,4.4967
"trinityContig17520||sp|Q02218.3|","Nontoxin","NT",20.98,27.51,24.49,24.3267
"trinityContig17530||sp|Q8CHK7.1|","Nontoxin","NT",23.04,40.91,17.25,27.0667
"trinityContig17531||CTC1","Nontoxin","NT",1.85,4.73,3.13,3.2367
"trinityContig17533||sp|Q8N4Q0.1|","Nontoxin","NT",3.11,4.04,4.12,3.7567
"trinityContig17535||194878at32523","Nontoxin","NT",19.92,24.52,14.93,19.79
"trinityContig1753||sp|P48597.1|","Nontoxin","NT",28.61,28.1,31.71,29.4733
"trinityContig17556||sp|Q5ZIV9.2|","Nontoxin","NT",7.45,1.25,5.26,4.6533
"trinityContig17559||sp|P21796.2|","Nontoxin","NT",26.76,29.27,32.59,29.54
"trinityContig17574||254269at32523","Nontoxin","NT",5.03,5.22,5.91,5.3867
"trinityContig17597||153742at32523__Actin","Nontoxin","NT",0.68,3.19,1.53,1.8
"trinityContig17597||sp|P11483.1|","Nontoxin","NT",4.47,5.1,7.04,5.5367
"trinityContig17600||sp|Q9JIQ3.2|","Nontoxin","NT",9.96,6.34,9.16,8.4867
"trinityContig1761||256267at32523__RRM_1","Nontoxin","NT",13.38,13.36,15.77,14.17
"trinityContig17701||301160at32523","Nontoxin","NT",4.63,6.52,5.17,5.44
"trinityContig17724||265286at32523","Nontoxin","NT",1.82,2.99,0,1.6033
"trinityContig1773||239729at32523","Nontoxin","NT",9.15,7.96,5.24,7.45
"trinityContig17762||sp|Q9CRB8.1|","Nontoxin","NT",0,1.4,1,0.8
"trinityContig17764||223786at32523__SCAN","Nontoxin","NT",3.26,1.1,1.47,1.9433
"trinityContig17765||259614at32523","Nontoxin","NT",1.51,1.77,0.43,1.2367
"trinityContig17767||sp|Q99489.1|","Nontoxin","NT",1.85,4.06,0.76,2.2233
"trinityContig17784||Ferlin_C","Nontoxin","NT",8.55,5.82,3.77,6.0467
"trinityContig17818||230860at32523","Nontoxin","NT",6.05,2.37,4.54,4.32
"trinityContig17819||sp|P04692.3|","Nontoxin","NT",6.15,0,11.52,5.89
"trinityContig17822||sp|Q9BRX9.1|","Nontoxin","NT",2.03,3.24,2.09,2.4533
"trinityContig17851||sp|Q8BSV3.1|","Nontoxin","NT",4.92,4.93,4.83,4.8933
"trinityContig17856||sp|Q498E6.1|","Nontoxin","NT",12.56,11.8,9.38,11.2467
"trinityContig17882||sp|P0DP23.1|","Nontoxin","NT",34.9,15.86,22.34,24.3667
"trinityContig17918||STT3","Nontoxin","NT",27.49,1.39,26.74,18.54
"trinityContig18075||270101at32523__Clat_adaptor_s","Nontoxin","NT",80.32,50.26,100.99,77.19
"trinityContig18089||sp|A7MBJ5.1|","Nontoxin","NT",6.57,6.62,6.07,6.42
"trinityContig18091||sp|Q5VYY1.1|","Nontoxin","NT",55.18,72.05,69.94,65.7233
"trinityContig18095||sp|O73930.3|","Nontoxin","NT",37.48,28.82,61.66,42.6533
"trinityContig18105||sp|P49459.2|","Nontoxin","NT",7.27,6.13,4.09,5.83
"trinityContig18105||sp|Q5ZJF4.3|","Nontoxin","NT",130.39,159.71,109.02,133.04
"trinityContig18110||sp|Q5RFT1.1|","Nontoxin","NT",3.45,4.96,6.1,4.8367
"trinityContig1811||267601at32523","Nontoxin","NT",0,6.18,0,2.06
"trinityContig18121||256267at32523","Nontoxin","NT",25.27,32.77,19.74,25.9267
"trinityContig18124||sp|Q99KK2.2|","Nontoxin","NT",5.91,4.74,4.15,4.9333
"trinityContig18133||284008at32523","Nontoxin","NT",263.55,271.51,253.05,262.7033
"trinityContig18138||sp|Q5F3Z7.2|","Nontoxin","NT",10.7,8.44,10.12,9.7533
"trinityContig18141||sp|P08049.2|","Nontoxin","NT",21.08,2.47,9.78,11.11
"trinityContig18154||sp|Q9Z1Q9.1|","Nontoxin","NT",4.61,7.09,28.12,13.2733
"trinityContig18162||sp|P26196.2|","Nontoxin","NT",11.28,8.97,10.47,10.24
"trinityContig18174||sp|Q8WVC0.1|","Nontoxin","NT",6.4,5.95,7.67,6.6733
"trinityContig18181||sp|Q4JIM4.1|","Nontoxin","NT",4.99,4.86,5.77,5.2067
"trinityContig18184||93962at32523","Nontoxin","NT",8.97,10.47,9.69,9.71
"trinityContig18189||167400at32523__UNC-93","Nontoxin","NT",6.25,6.95,6.57,6.59
"trinityContig18196||sp|Q5ZJI0.1|","Nontoxin","NT",1.52,2.77,1.2,1.83
"trinityContig18209||148267at32523","Nontoxin","NT",3.43,6.92,3.67,4.6733
"trinityContig18212||sp|Q08DB5.1|","Nontoxin","NT",10.53,7.55,9.69,9.2567
"trinityContig18219||sp|O43813.1|","Nontoxin","NT",6.69,6.17,6.3,6.3867
"trinityContig18229||185805at32523","Nontoxin","NT",5.6,7.94,6.32,6.62
"trinityContig18231||sp|Q9CQJ4.1|","Nontoxin","NT",13.03,8.13,9.87,10.3433
"trinityContig18255||242386at32523","Nontoxin","NT",12.08,13.57,11.18,12.2767
"trinityContig18259||sp|P0DN79.1|","Nontoxin","NT",55.37,41.93,77.73,58.3433
"trinityContig18265||sp|A5A6N6.1|","Nontoxin","NT",5.35,4.9,2.51,4.2533
"trinityContig18268||Med22","Nontoxin","NT",5.38,12.75,11.43,9.8533
"trinityContig18269||sp|Q9H3F6.1|","Nontoxin","NT",5.61,5.02,5.28,5.3033
"trinityContig18277||sp|Q00266.2|","Nontoxin","NT",16.55,9.97,30.73,19.0833
"trinityContig18285||sp|Q6NYK8.1|","Nontoxin","NT",25.05,31.24,17.81,24.7
"trinityContig18287||sp|O43504.1|","Nontoxin","NT",34.81,21.36,24.66,26.9433
"trinityContig18289||sp|Q5ZJK8.1|","Nontoxin","NT",18.05,17.89,13.67,16.5367
"trinityContig18291||160677at32523","Nontoxin","NT",0.95,2.03,2.68,1.8867
"trinityContig1832||sp|Q9H2G2.1|","Nontoxin","NT",1.8,7.76,5.57,5.0433
"trinityContig18357||205883at32523__Methyltrn_RNA_3","Nontoxin","NT",0.72,3.99,1.47,2.06
"trinityContig18392||Vinculin","Nontoxin","NT",0,3.22,0,1.0733
"trinityContig1843||57120at32523","Nontoxin","NT",16.24,24.33,15.73,18.7667
"trinityContig18445||sp|Q2KHT8.1|","Nontoxin","NT",3.82,3.34,4.52,3.8933
"trinityContig1845||57120at32523","Nontoxin","NT",20.65,11.44,17.12,16.4033
"trinityContig18462||Fam20C","Nontoxin","NT",1.17,2.53,2.62,2.1067
"trinityContig1846||sp|Q9JI08.1|","Nontoxin","NT",4.91,4.6,8.31,5.94
"trinityContig18493||sp|Q15035.1|","Nontoxin","NT",23.04,14.37,22.76,20.0567
"trinityContig18504||sp|Q5ZJ64.1|","Nontoxin","NT",67.7,73.64,81.35,74.23
"trinityContig18514||sp|Q29380.2|","Nontoxin","NT",21.03,25.39,20.61,22.3433
"trinityContig18532||sp|Q8BH98.1|","Nontoxin","NT",12.62,10.51,15.24,12.79
"trinityContig18555||260469at32523__MARVEL","Nontoxin","NT",29.94,46.92,37.06,37.9733
"trinityContig18557||sp|Q5R8B1.1|","Nontoxin","NT",23.75,29.06,13.23,22.0133
"trinityContig18570||PA26","Nontoxin","NT",1.1,0.89,1.23,1.0733
"trinityContig18571||sp|Q8R235.1|","Nontoxin","NT",36.07,48.9,38.44,41.1367
"trinityContig18595||sp|P68517.2|","Nontoxin","NT",68.94,73.14,77.13,73.07
"trinityContig18596||sp|P81178.1|","Nontoxin","NT",25.24,26.2,29.2,26.88
"trinityContig18606||Nse4_C","Nontoxin","NT",4.47,3.41,4.47,4.1167
"trinityContig18629||ATP-synt_F6","Nontoxin","NT",27.81,83.46,44.97,52.08
"trinityContig18664||sp|O43760.1|","Nontoxin","NT",69.76,84.26,93.81,82.61
"trinityContig18665||sp|Q9BZQ6.2|","Nontoxin","NT",23.09,12.4,22.02,19.17
"trinityContig18695||sp|A5D7H2.1|","Nontoxin","NT",5.63,4.72,3.64,4.6633
"trinityContig18702||sp|P28497.1|","Nontoxin","NT",38.77,42.91,37.13,39.6033
"trinityContig18718||sp|Q5ZKI4.1|","Nontoxin","NT",8.4,4.38,7.86,6.88
"trinityContig18725||63388at32523","Nontoxin","NT",12.88,6.48,15.26,11.54
"trinityContig18729||BTB_3","Nontoxin","NT",18.67,13.39,11.78,14.6133
"trinityContig18741||sp|Q9H2G2.1|","Nontoxin","NT",9.26,5.87,3.18,6.1033
"trinityContig18751||sp|P41252.2|","Nontoxin","NT",18.83,10.8,23.28,17.6367
"trinityContig18766||123135at32523","Nontoxin","NT",6.02,3.68,2.91,4.2033
"trinityContig18773||272037at32523__HMG_box_2","Nontoxin","NT",43.58,60.85,45.8,50.0767
